"","Boeke_2ch","Qin_2ch","Qin_16ch"
"PPZ1",-5.09649996011081,-8.1336604973783,0.186839205410841
"KIP3",-7.46722377204272,-6.29182725978912,0.148472757921715
"YER184C",0.505943122480307,0.813564752590845,-6.2387065432587
"KAP95",-6.11910662496465,-4.40751129411288,0.199469285813591
"GAL4",-5.8884607636663,-5.65574877543618,-0.263251621247938
"NFI1",-5.1111690572997,-4.75829126153217,0.427149486711123
"YDL233W",0.625280291770449,-4.80329253900987,-0.656537707436282
"YDR306C",-4.75482176031539,-4.23453949719118,-0.00838628998487369
"YNL035C",-0.48627723265971,-4.84135926100364,-0.622106709680825
"MKS1",-4.17775345379005,-7.8385341893356,-3.35798633891594
"LSC1",-0.363432516457985,-0.268431998076586,-4.33531292629612
"YPR116W",-0.430109717181106,-4.07490908422024,0.137181749659141
"RPH1",-3.82035187400018,-4.87855003768355,-0.712776995857878
"BRN1",-1.88595673058911,-5.04046027288384,-0.936194564174636
"FRE4",-0.801947713807274,-4.59736225394483,-1.03043670774562
"YGL117W",-0.601865917687906,-4.11271244020253,-0.344705951107765
"YDL012C",0.2762557292527,-0.424750647532927,-3.63273508143259
"UBP5",0.0846009719233951,0.277699574446731,-3.37992997102885
"GLO3",0.0753399955261713,0.173874017150409,-3.2364347019022
"INO80",0.0976176139956795,-0.76423256387882,-3.46853313485313
"MDS3",-0.334854047556162,0.685006469459737,-2.88929078636083
"SSN2",0.716135625447892,0.566941089647057,-2.53245717936018
"INM1",-2.88575941193569,-4.52321739896279,-0.870538217800702
"PET20",0.853449277453111,-2.6547216633279,-0.0723565763511963
"UBP14",-0.650364957452348,-0.184744748936767,-3.52190784531535
"VPS28",-0.950910436235875,2.3067351518223,-0.673904027458875
"MAM33",-1.36853223497006,-3.79602968985243,-0.292299409847603
"NOP1",0.155521973450374,0.251421205234787,-2.87706876673118
"ASE1",-2.93484798293438,-2.65048455015452,0.268263863191016
"MRD1",0.114519845536747,0.373188647989043,-2.75129275803467
"YJL049W",-0.147700339231078,-3.43745904857636,-1.0789748653988
"YNR071C",1.27961514783248,-1.78662327984713,-1.30046626716634
"LEO1",-2.86629047485459,-0.183255691220003,0.0924622243234971
"SQS1",-2.74398405921675,-1.68115380733684,0.455888446698238
"RSP5",-2.65202466459074,-1.74058310117054,0.463364210949128
"ECM25",-1.73229689678568,-4.42021821426842,-1.60660867523844
"MSB1",-0.733248864475277,0.484146310662167,-2.60883838706511
"YOX1",-6.45322918426532,-3.68013577828901,-3.89224677211816
"KAP122",-2.44664519092326,-0.891174633597661,0.62245433687472
"SLK19",-4.30137955254793,-3.24315263838528,-1.30235871955585
"PDR16",1.48225634306982,-1.33580470532224,-0.896960360165859
"CHD1",-1.32698944912272,-1.82741766297359,-4.16143654639245
"ATP4",-1.08335743257354,1.7126294082669,-0.670650363052262
"YOL036W",0.9347937366785,1.48723610125419,-1.35350246840388
"MHP1",-4.68771750750122,-5.67286183837048,-2.72248536999736
"FMP16",-2.12585551807746,0.796144345913278,-1.16233643816103
"HIS6",-2.26227935280725,0.505861916398035,0.033974783246401
"CNA1",1.74439736408222,-0.850141800452604,-0.71690557634913
"CBF2",-4.46838764464291,-2.68618327133784,-1.5834999850478
"AZF1",-2.47902448973449,-2.3519309261841,0.100178034058148
"ATP5",2.17474821420898,-0.548027347132737,-0.00977033682247059
"TPK3",-7.13147026408779,-5.46289557403904,-4.2782644393917
"YDR066C",-0.503638436554406,-0.0205669811903538,-2.68766784066174
"PPG1",1.23459275804028,-1.19846294088936,-1.24848556126454
"CUS2",1.41956117747408,-0.744683519022695,-1.25252972569821
"KAR3",-1.77985857719403,-0.962112108641812,-3.72231851966377
"NAM8",-4.51630387325884,-3.60926678654527,-1.74184723205882
"ARK1",-5.74063320601856,-5.32198875051676,-3.13109135913982
"YRR1",0.00931595060470921,2.0941675533187,-0.567615801907199
"YNL134C",1.20528899264522,-1.29574042730919,-1.11041788228581
"YEL057C",-1.59125086392785,0.824264993802524,0.802394645342655
"COQ10",1.85826826791612,0.428822121615543,-0.909202268329174
"UBX7",-1.95304699156129,-2.20320534686989,0.302559078929824
"PLP2",1.36747668826126,-1.205569697727,-0.748184790691709
"YMR134W",1.03984570310014,-1.69752963715072,-0.305824463817719
"ASM4",-0.745184015184996,-3.36673322109648,-1.38466336126325
"BCP1",1.20751616892862,-0.916181593970669,-1.33130919567696
"GET3",1.38705031638412,-1.27239619579593,-0.425203320772955
"PTP2",-0.906070855082197,-3.26160916920568,-0.920554732330878
"YJR136C",1.00359081897948,-1.69351776093384,-0.194073107140574
"SSD1",-1.9994727440434,-1.71310746705433,0.458127295465551
"HOF1",-1.52434086496806,0.445132130663834,-2.10430279545746
"YBR242W",-0.0417148885402831,-2.70843370026789,-1.36249069897746
"CPR7",0.869230534487629,-1.73840134335185,-0.846722024461729
"RPE1",-2.00358877045559,0.40213977516566,0.143798949635686
"KEL2",1.17023394758516,-1.44317842938574,-0.43874390051199
"ALG13",-1.27990159362204,0.286256875220062,-2.30632625427828
"BIM1",-2.42313657186984,-4.8404962091452,-2.7794918669112
"SRT1",0.588289584862196,0.0611728450783124,-1.88346758367811
"MSG5",-2.3281930870753,-3.89136992369976,-1.32726623558294
"BEM3",-1.34383237318136,0.799168628165507,-1.50590614146637
"TIF4631",-1.94314120107415,0.146165240511688,-2.19681185168877
"SPT5",-3.87111118398739,-4.48879024448398,-2.01850138832882
"TAF11",1.97310800511574,-0.157690905834218,-0.3347009487898
"YIL067C",1.19403629713713,-1.20683236432982,-0.796794250000504
"BBP1",-3.21980665879468,-4.32322326262472,-1.7713527747579
"GPI8",1.67428982565042,-0.291549452469707,-0.726955776473065
"YND1",1.16012022456645,-1.24416010385199,-0.795270451841251
"ATP23",1.10780014619587,-1.07625206679717,1.14090948601418
"YCR016W",0.815541573360778,-1.66383347126947,-0.855925013611373
"PFA4",0.95697036457114,-1.19137179968203,-1.26593064650761
"RPL1A",0.782607055480375,-1.20974281680927,1.11203111675772
"HTS1",0.930624970854375,-1.47379908524939,-0.872530681296971
"PHO3",-0.989469720241195,-2.85196455949421,-0.482756564039489
"YDR514C",1.2816352036151,-1.21243248293388,-0.00338304879344292
"RIP1",1.09540247363975,-0.68534623685258,-1.30732137040692
"PPM2",0.0530919409052362,1.93942970920214,-0.37949331886672
"THO1",1.25821374935776,-1.18935934206415,-0.134002485721032
"NGR1",-4.16858002625464,-4.20411285548515,-2.06263230889104
"SPI1",0.820654887077011,-0.493758491452853,-1.62718985921405
